@id @lon @lat name
370651330 21.4273351 41.9918820 Apteka
444938513 21.4262009 42.0009645 Apteka
444938811 21.4226797 41.9984708 Apteka
459673288 21.4154083 41.9932326 Apteka
1382090805 21.4008928 41.9940569 Apteka
1615832328 21.3978776 42.0032564 Apteka
1615847558 21.3985661 42.0034289 Apteka
1652699470 21.4219509 41.9919776 Apteka
1748378521 21.4198668 41.9988465 Apteka
1867138500 21.4259438 42.0012381 Apteka
1867138531 21.4262899 42.0010897 Apteka
1867138554 21.4258850 42.0011698 Apteka
1869864073 21.4265324 41.9967965 Apteka
1869864106 21.4263948 41.9969565 Apteka
1869864142 21.4264002 41.9970741 Apteka
1869864162 21.4262956 41.9969784 Apteka
1869864197 21.4265397 41.9970502 Apteka
1869864249 21.4262714 41.9968588 Apteka
2294320035 21.4078311 41.9960357 Apteka
2362912161 21.4053418 42.0026568 Apteka
2601311980 21.4078707 42.0032478 Apteka
3634182103 21.3902099 42.0009171 Apteka
4614661190 21.4085080 41.9969243 Apteka
4846704246 21.4276434 41.9958705 Apteka
4846704247 21.4273767 41.9954508 Apteka
5333318379 21.4010137 42.0028618 Apteka
6054020289 21.4250953 41.9950329 Apteka
6054035531 21.4269070 41.9938132 Apteka
6054048689 21.4154009 41.9985752 Apteka
6054048697 21.4155218 42.0037486 Apteka
6054048719 21.4284040 41.9970967 Apteka
6054049800 21.4132362 42.0002111 Apteka
6054050088 21.4266118 41.9995676 Apteka
6054050093 21.4224854 41.9985010 Apteka
6054050097 21.4152598 42.0004895 Apteka
6054050785 21.4231640 41.9952217 Apteka
6279836416 21.4259201 41.9907383 Apteka
6289824075 21.3943733 41.9950587 Apteka
6348159698 21.4262044 42.0011303 Apteka
6348159699 21.4261945 42.0011188 Apteka
6348159700 21.4258613 42.0011260 Apteka
6348159701 21.4258950 42.0011651 Apteka
6348159702 21.4262667 42.0010409 Apteka
6348159703 21.4262533 42.0010473 Apteka
6814246729 21.4245363 41.9949134 Apteka
6815918388 21.4226605 41.9982536 Apteka
6815931685 21.4182168 42.0027911 Apteka
1000000176158374 21.4260755 42.0011013 Apteka
1000000176448659 21.4264055 41.9969353 Apteka
